N,delta_mu,delta_s,D_indiv,D_fused,ratio
2,0.35306122448979593,-2.0846938775510204,1.0268426848986765,3.208211722817575,1.5621729452813626
2,0.35306122448979593,-2.023673469387755,0.9784543017016245,3.088834394720721,1.5784254764626953
2,0.35306122448979593,-1.9626530612244897,0.9307822315625558,2.969800577115689,1.5953251342852344
2,0.35306122448979593,-1.9016326530612244,0.8838622828066471,2.85115423929815,1.612895071302565
2,0.35306122448979593,-1.8406122448979592,0.8377314868776644,2.7329448838026287,1.631158030115756
2,0.35306122448979593,-1.779591836734694,0.7924280724875539,2.615228215300832,1.6501360224980592
2,0.35306122448979593,-1.7185714285714284,0.7479914300194652,2.4980668822200416,1.6698499354163947
2,0.35306122448979593,-1.6575510204081632,0.7044620653199034,2.3815312964559423,1.6903190488862339
2,0.35306122448979593,-1.596530612244898,0.661881542031417,2.2657005360791134,1.7115604471498989
2,0.35306122448979593,-1.5355102040816326,0.6202924116510595,2.1506633350656026,1.7335883001865908
2,0.35306122448979593,-1.4744897959183674,0.5797381305542871,2.036519162680624,1.756412986613033
2,0.35306122448979593,-1.413469387755102,0.5402629633016721,1.9233793930351206,1.7800400209565574
2,0.35306122448979593,-1.3524489795918366,0.5019118716490686,1.8113685622999909,1.80446873705996
2,0.35306122448979593,-1.2914285714285714,0.46473038881272255,1.700625706838102,1.829690663421864
2,0.35306122448979593,-1.230408163265306,0.4287644787007815,1.5913057697887907,1.8556875030910651
2,0.35306122448979593,-1.1693877551020406,0.39406038001257193,1.4835810560611082,1.8824285963660907
2,0.35306122448979593,-1.1083673469387754,0.36066443532686576,1.3776427058845977,1.9098676927156084
2,0.35306122448979593,-1.04734693877551,0.3286229055491247,1.2737021446640573,1.937938779002208
2,0.35306122448979593,-0.9863265306122448,0.2979817703631279,1.1719924515921827,1.9665505882523684
2,0.35306122448979593,-0.9253061224489794,0.2687865156308342,1.072769571160135,1.9955792213801644
2,0.35306122448979593,-0.8642857142857143,0.24108190900079296,0.9763132705421489,2.024858013172066
2,0.35306122448979593,-0.8032653061224488,0.21491176531324108,0.8829277224756298,2.054163300898704
2,0.35306122448979593,-0.7422448979591834,0.1903187037212387,0.7929415690906827,2.0831940150562143
2,0.35306122448979593,-0.6812244897959183,0.16734389877231004,0.7067072995124963,2.111541874837188
2,0.35306122448979593,-0.6202040816326528,0.1460268280035154,0.6245997565151428,2.1386472782251573
2,0.35306122448979593,-0.5591836734693878,0.12640501888327604,0.5470135799076042,2.163733626798171
2,0.35306122448979593,-0.4981632653061223,0.10851379817374629,0.47435940273029953,2.1857100696576
2,0.35306122448979593,-0.43714285714285683,0.09238604697635866,0.40705864744541975,2.2030309812345634
2,0.35306122448979593,-0.3761224489795918,0.07805196484929455,0.3455368294280913,2.213505003335059
2,0.35306122448979593,-0.3151020408163263,0.06553884643929808,0.29021536844694795,2.2140713806714976
2,0.35306122448979593,-0.2540816326530613,0.05487087404367874,0.24150203547328442,2.200639589603057
